,0,ship_id,ship_time,ship_lat,ship_lon,ship_depth,ship_temp,turtle_id,turtle_time,turtle_lat,turtle_lon,turtle_depth,turtle_temp
0,0,[HB1303],2013-08-11 04:09:35,37.9133,-74.505,"[2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 48.0, 53.0]","[24.75, 24.76, 24.74, 24.71, 24.66, 24.53, 24.21, 23.96, 23.86, 23.75, 23.56, 21.82, 18.48, 16.63, 14.27, 12.31, 11.25, 10.59, 10.1, 9.16, 8.35, 8.07, 7.9, 7.82, 7.73, 7.66, 7.58, 7.5, 7.47, 7.46, 7.46, 7.46, 7.46, 7.46, 7.46, 7.46, 7.46, 7.46, 7.46, 7.46, 7.46, 7.46, 7.46, 7.46, 7.46, 7.47, 7.48]",129775,08AUG2013:16:00:00,37.922037136,-74.59160219,"[2.0, 8.0, 11.0, 12.0, 13.0, 17.0, 19.0, 22.0, 26.0, 45.0]","[23.4, 22.493, 18.325, 17.971, 16.095, 11.757, 11.142, 9.035, 8.251, 8.02]"
1,1,[HB1304],2013-09-08 02:44:24,37.9167,-74.6367,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0]","[24.26, 24.26, 24.25, 24.25, 24.26, 24.26, 24.26, 24.24, 24.18, 24.16, 24.16, 24.16, 24.13, 24.1, 23.65, 22.81, 21.41, 19.13, 18.08, 17.5, 15.99, 15.22, 14.84, 11.84, 10.35, 9.7, 9.42, 9.27, 9.26, 9.26, 9.26, 9.26, 9.26, 9.26, 9.26, 9.26, 9.26, 9.26, 9.26, 9.27, 9.29, 9.3, 9.28]",129775,06SEP2013:16:00:00,37.963211305,-74.55924174,"[2.0, 12.0, 16.0, 21.0, 22.0, 23.0, 25.0, 31.0, 35.0, 45.0]","[24.17, 23.813, 22.758, 18.627, 16.651, 16.413, 13.56, 10.231, 9.592, 9.31]"
2,2,[HB1304],2013-09-08 00:18:00,38.1367,-74.4983,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[24.2, 24.21, 24.21, 24.2, 24.18, 24.16, 24.16, 24.1, 24.08, 24.06, 24.01, 23.92, 23.85, 23.76, 23.66, 23.63, 23.48, 22.86, 22.11, 20.88, 19.35, 17.25, 15.5, 13.42, 11.26, 10.07, 9.8, 9.45, 9.1, 9.0, 8.96, 8.96, 8.95, 8.94, 8.94, 8.94, 8.97]",129775,09SEP2013:04:00:00,38.079766194,-74.52894228,"[2.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 11.0]","[24.33, 24.33, 24.313, 24.271, 24.204, 24.16, 24.134, 24.067, 24.05, 24.05]"
3,3,[S11301],2013-06-19 23:38:23,39.7617,-73.1783,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0]","[17.44, 17.37, 17.51, 17.51, 17.25, 17.17, 17.08, 17.02, 16.97, 16.9, 16.83, 16.77, 16.62, 15.94, 15.24, 14.5, 12.4, 10.2, 8.76, 7.78, 7.58, 7.53, 7.52, 7.47, 7.42, 7.4, 7.38, 7.37, 7.38, 7.44, 7.44, 7.38, 7.39, 7.31, 7.26, 7.25, 7.24, 7.24, 7.24, 7.23, 7.23, 7.23, 7.23, 7.23]",129777,17JUN2013:04:00:00,39.731599269,-73.23070679,"[2.0, 4.0, 5.0, 7.0, 8.0, 8.0]","[16.78, 16.78, 16.785, 16.785, 16.788, 16.81]"
4,4,[S11301],2013-06-19 23:38:23,39.7617,-73.1783,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0]","[17.44, 17.37, 17.51, 17.51, 17.25, 17.17, 17.08, 17.02, 16.97, 16.9, 16.83, 16.77, 16.62, 15.94, 15.24, 14.5, 12.4, 10.2, 8.76, 7.78, 7.58, 7.53, 7.52, 7.47, 7.42, 7.4, 7.38, 7.37, 7.38, 7.44, 7.44, 7.38, 7.39, 7.31, 7.26, 7.25, 7.24, 7.24, 7.24, 7.23, 7.23, 7.23, 7.23, 7.23]",129777,17JUN2013:12:00:00,39.728926258,-73.23320202,"[2.0, 3.0, 4.0, 4.0]","[16.69, 16.711, 16.716, 16.72]"
5,5,[S11301],2013-06-19 23:38:23,39.7617,-73.1783,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0]","[17.44, 17.37, 17.51, 17.51, 17.25, 17.17, 17.08, 17.02, 16.97, 16.9, 16.83, 16.77, 16.62, 15.94, 15.24, 14.5, 12.4, 10.2, 8.76, 7.78, 7.58, 7.53, 7.52, 7.47, 7.42, 7.4, 7.38, 7.37, 7.38, 7.44, 7.44, 7.38, 7.39, 7.31, 7.26, 7.25, 7.24, 7.24, 7.24, 7.23, 7.23, 7.23, 7.23, 7.23]",129777,17JUN2013:16:00:00,39.758342697,-73.23315117,"[2.0, 3.0, 4.0, 5.0, 7.0]","[16.68, 16.679, 16.676, 16.66, 16.66]"
6,6,[S11301],2013-06-19 23:38:23,39.7617,-73.1783,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0]","[17.44, 17.37, 17.51, 17.51, 17.25, 17.17, 17.08, 17.02, 16.97, 16.9, 16.83, 16.77, 16.62, 15.94, 15.24, 14.5, 12.4, 10.2, 8.76, 7.78, 7.58, 7.53, 7.52, 7.47, 7.42, 7.4, 7.38, 7.37, 7.38, 7.44, 7.44, 7.38, 7.39, 7.31, 7.26, 7.25, 7.24, 7.24, 7.24, 7.23, 7.23, 7.23, 7.23, 7.23]",129777,17JUN2013:20:00:00,39.784801427,-73.19255465,"[2.0, 11.0, 12.0, 13.0, 14.0, 16.0, 18.0, 19.0, 38.0, 45.0]","[16.84, 16.466, 16.288, 15.849, 14.895, 11.23, 8.547, 8.032, 7.518, 7.49]"
7,7,[S11301],2013-06-19 05:09:35,39.0567,-73.355,"[2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0]","[17.66, 17.66, 17.66, 17.66, 17.66, 17.65, 17.65, 17.65, 17.6, 17.53, 17.34, 17.06, 16.84, 16.64, 16.12, 15.52, 14.01, 11.7, 9.95, 9.37, 9.17, 8.92, 8.44, 7.81, 7.46, 7.28, 6.93, 6.85, 6.79, 6.77, 6.77, 6.76, 6.75, 6.75, 6.74, 6.73, 6.72, 6.71, 6.71, 6.71, 6.71, 6.71, 6.71, 6.71, 6.71, 6.7, 6.69, 6.69, 6.68, 6.68, 6.68, 6.68, 6.68, 6.68, 6.68, 6.68, 6.67, 6.67, 6.67]",129779,18JUN2013:16:00:00,39.035856836,-73.4562881,"[2.0, 14.0, 16.0, 19.0, 27.0, 30.0, 32.0, 34.0, 37.0, 56.0]","[17.23, 16.518, 15.637, 12.897, 12.355, 11.771, 9.605, 8.065, 6.812, 6.61]"
8,8,[S11301],2013-06-19 05:09:35,39.0567,-73.355,"[2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0]","[17.66, 17.66, 17.66, 17.66, 17.66, 17.65, 17.65, 17.65, 17.6, 17.53, 17.34, 17.06, 16.84, 16.64, 16.12, 15.52, 14.01, 11.7, 9.95, 9.37, 9.17, 8.92, 8.44, 7.81, 7.46, 7.28, 6.93, 6.85, 6.79, 6.77, 6.77, 6.76, 6.75, 6.75, 6.74, 6.73, 6.72, 6.71, 6.71, 6.71, 6.71, 6.71, 6.71, 6.71, 6.71, 6.7, 6.69, 6.69, 6.68, 6.68, 6.68, 6.68, 6.68, 6.68, 6.68, 6.68, 6.67, 6.67, 6.67]",129779,18JUN2013:20:00:00,39.025453841,-73.45954157,"[2.0, 8.0, 10.0, 11.0, 12.0, 14.0, 16.0, 19.0, 24.0, 57.0]","[17.42, 16.784, 15.469, 14.412, 12.849, 11.663, 10.014, 8.667, 7.017, 6.64]"
9,9,[HB1304],2013-09-15 17:00:00,38.9483,-73.5983,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0]","[23.19, 23.19, 23.18, 23.17, 23.14, 23.12, 23.1, 23.08, 23.07, 23.07, 23.06, 23.05, 23.05, 23.04, 23.04, 23.03, 23.03, 22.86, 21.82, 20.66, 17.64, 13.99, 12.34, 11.09, 10.59, 10.2, 10.08, 10.05, 10.04, 10.01, 9.95, 9.94, 9.93, 9.92, 9.92, 9.92, 9.92, 9.92, 9.92, 9.92, 9.92, 9.92, 9.92, 9.92, 9.92, 9.92, 9.93, 9.93]",129784,15SEP2013:08:00:00,38.981831969,-73.65119127,"[2.0, 3.0, 4.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 11.0]","[23.143, 23.144, 23.15, 23.15, 23.149, 23.149, 23.146, 23.141, 23.141, 23.12]"
